URL odkaz,Dispozice,Rozmery,Rozmer bez jednotek,Kompozice,Lokace,Ulice,Mesto,Cena za mesic,Cena
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-pasecka/2460148300,Pronájem bytu 1+kk 29m²,29m²,29,1+kk,"Pasecká, Zlín",Pasecká, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kuty/3460969036,Pronájem bytu 1+kk 29m²,29m²,29,1+kk,"Kúty, Zlín",Kúty, Zlín,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-otrokovice-nam-3-kvetna/2405245516,Pronájem bytu 2+kk 60m²,60m²,60,2+kk,"nám. 3. května, Otrokovice",nám. 3. května, Otrokovice,17500Kč/měsíc,17500
https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-kvitkovice-/465510988,Pronájem bytu 1+1 45m²,45m²,45,1+1,Otrokovice - Kvítkovice,NaN,Otrokovice - Kvítkovice,10000Kč/měsíc,10000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,Pronájem bytu 1+kk 40m²,40m²,40,1+kk,"Sadová, Zlín",Sadová, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-prstne-l-vachy/267330124,Pronájem bytu 2+1 58m²,58m²,58,2+1,"L. Váchy, Zlín - Prštné",L. Váchy, Zlín - Prštné,16500Kč/měsíc,16500
https://www.sreality.cz/detail/pronajem/byt/3+kk/napajedla-napajedla-masarykovo-namesti/638923340,Pronájem bytu 3+kk 66m²,66m²,66,3+kk,"Masarykovo náměstí, Napajedla",Masarykovo náměstí, Napajedla,13000Kč/měsíc,13000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-dlouha/356459084,Pronájem bytu 1+1 36m²,36m²,36,1+1,"Dlouhá, Zlín",Dlouhá, Zlín,9000Kč/měsíc,9000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-potoky/1788228172,Pronájem bytu 1+1 36m²,36m²,36,1+1,"Potoky, Zlín",Potoky, Zlín,11500Kč/měsíc,11500
https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-otrokovice-nadrazni/1966023244,Pronájem bytu 1+1 38m²,38m²,38,1+1,"Nádražní, Otrokovice",Nádražní, Otrokovice,9600Kč/měsíc,9600
https://www.sreality.cz/detail/pronajem/byt/atypicky/zlin-prstne-l-vachy/617361996,Pronájem bytu atypický 19m²,19m²,19,atypický,"L. Váchy, Zlín - Prštné",L. Váchy, Zlín - Prštné,7500Kč/měsíc,7500
https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2774475340,Pronájem bytu pokoj 21m²,21m²,21,pokoj,"tř. Spojenců, Otrokovice",tř. Spojenců, Otrokovice,10500Kč/měsíc,10500
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/968368716,Pronájem bytu 2+1 48m²,48m²,48,2+1,"třída Svobody, Zlín - Malenovice",třída Svobody, Zlín - Malenovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-zadni-luhy/4022870604,Pronájem bytu 2+kk 44m²,44m²,44,2+kk,"Zadní luhy, Zlín - Louky",Zadní luhy, Zlín - Louky,12900Kč/měsíc,12900
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-dlouha/4140311116,Pronájem bytu 3+kk 110m²,110m²,110,3+kk,"Dlouhá, Zlín",Dlouhá, Zlín,19000Kč/měsíc,19000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,Pronájem bytu 1+kk 40m²,40m²,40,1+kk,"Sadová, Zlín",Sadová, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/1776476748,Pronájem bytu 2+kk 50m²,50m²,50,2+kk,"Pasecká, Zlín",Pasecká, Zlín,17900Kč/měsíc,17900
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/941744716,Pronájem bytu 2+kk 48m²,48m²,48,2+kk,"Pasecká, Zlín",Pasecká, Zlín,17200Kč/měsíc,17200
https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-priluky-pancava/1385484876,Pronájem bytu pokoj 18m²,18m²,18,pokoj,"Pančava, Zlín - Příluky",Pančava, Zlín - Příluky,4300Kč/měsíc,4300
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-priluky-pancava/4211225164,Pronájem bytu 1+kk 22m²,22m²,22,1+kk,"Pančava, Zlín - Příluky",Pančava, Zlín - Příluky,9900Kč/měsíc,9900
https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/3613336140,Pronájem bytu pokoj 21m²,21m²,21,pokoj,"tř. Spojenců, Otrokovice",tř. Spojenců, Otrokovice,8500Kč/měsíc,8500
https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2489262668,Pronájem bytu pokoj 21m²,21m²,21,pokoj,"tř. Spojenců, Otrokovice",tř. Spojenců, Otrokovice,9500Kč/měsíc,9500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vejvanovska/1921827404,Pronájem bytu 1+kk 18m²,18m²,18,1+kk,"Vejvanovská, Zlín",Vejvanovská, Zlín,10900Kč/měsíc,10900
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/762589772,Pronájem bytu 1+kk 20m²,20m²,20,1+kk,"Štefánikova, Zlín",Štefánikova, Zlín,11900Kč/měsíc,11900
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-trida-tomase-bati/1701323340,Pronájem bytu 3+kk 95m²,95m²,95,3+kk,"třída Tomáše Bati, Zlín",třída Tomáše Bati, Zlín,29000Kč/měsíc,29000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Nad Vývozem, Zlín",Nad Vývozem, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-slunecna/3220775500,Pronájem bytu 2+1 62m²,62m²,62,2+1,"Slunečná, Zlín",Slunečná, Zlín,12500Kč/měsíc,12500
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vetrna/2908299852,Pronájem bytu 1+1 35m²,35m²,35,1+1,"Větrná, Zlín",Větrná, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-chelcickeho/3883475532,Pronájem bytu 3+1 66m²,66m²,66,3+1,"Chelčického, Zlín - Malenovice",Chelčického, Zlín - Malenovice,19000Kč/měsíc,19000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-malenovice-zabrani/2390807116,Pronájem bytu 2+kk 50m²,50m²,50,2+kk,"Zabrání, Zlín - Malenovice",Zabrání, Zlín - Malenovice,20000Kč/měsíc,20000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zalesna-ii/1758077516,Pronájem bytu 2+kk 56m²,56m²,56,2+kk,"Zálešná II, Zlín",Zálešná II, Zlín,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/2294948428,Pronájem bytu 2+kk 58m²,58m²,58,2+kk,"Lešetín I, Zlín",Lešetín I, Zlín,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-budovatelska/2822382156,Pronájem bytu 2+1 45m²,45m²,45,2+1,"Budovatelská, Zlín",Budovatelská, Zlín,15500Kč/měsíc,15500
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-havlickovo-nabrezi/2673484364,Pronájem bytu 2+kk 58m²,58m²,58,2+kk,"Havlíčkovo nábřeží, Zlín",Havlíčkovo nábřeží, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-slunecna/3986367052,Pronájem bytu 4+1 83m²,83m²,83,4+1,"Slunečná, Zlín",Slunečná, Zlín,21000Kč/měsíc,21000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-javorova/666317388,Pronájem bytu 1+kk 28m²,28m²,28,1+kk,"Javorová, Zlín",Javorová, Zlín,11700Kč/měsíc,11700
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlutava-zlutava-/564843084,Pronájem bytu 1+kk 26m²,26m²,26,1+kk,Žlutava,NaN,Žlutava,6500Kč/měsíc,6500
https://www.sreality.cz/detail/pronajem/byt/3+kk/luhacovice-luhacovice-/1327178316,Pronájem bytu 3+kk 62m²,62m²,62,3+kk,Luhačovice,NaN,Luhačovice,15000Kč/měsíc,15000
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-jilova/864301644,Pronájem bytu 3+1 76m²,76m²,76,3+1,"Jílová, Zlín",Jílová, Zlín,14650Kč/měsíc,14650
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-podlesi-i/3770954316,Pronájem bytu 3+kk 68m²,68m²,68,3+kk,"Podlesí I, Zlín",Podlesí I, Zlín,18000Kč/měsíc,18000
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-priluky-pristav/926990924,Pronájem bytu 3+kk 110m²,110m²,110,3+kk,"Přístav, Zlín - Příluky",Přístav, Zlín - Příluky,20000Kč/měsíc,20000
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-sokolska/3267805772,Pronájem bytu 3+kk 77m²,77m²,77,3+kk,"Sokolská, Zlín",Sokolská, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/1819554380,Pronájem bytu 1+kk 30m²,30m²,30,1+kk,"Štefánikova, Zlín",Štefánikova, Zlín,11900Kč/měsíc,11900
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zelinova/3870634572,Pronájem bytu 2+kk 49m²,49m²,49,2+kk,"Zelinova, Zlín",Zelinova, Zlín,14900Kč/měsíc,14900
https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-prstne-/3370463820,Pronájem bytu pokoj 22m²,22m²,22,pokoj,Zlín - Prštné,NaN,Zlín - Prštné,6500Kč/měsíc,6500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-bezrucova/1675965004,Pronájem bytu 1+kk 35m²,35m²,35,1+kk,"Bezručova, Zlín - Malenovice",Bezručova, Zlín - Malenovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,Pronájem bytu 2+1 45m²,45m²,45,2+1,"Na Honech II, Zlín",Na Honech II, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-/3041210956,Pronájem bytu pokoj 17m²,17m²,17,pokoj,Zlín,NaN,Zlín,8000Kč/měsíc,8000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-podlesi-iii/1119236684,Pronájem bytu 2+1 45m²,45m²,45,2+1,"Podlesí III, Zlín",Podlesí III, Zlín,10600Kč/měsíc,10600
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zelinova/1351365196,Pronájem bytu 2+kk 48m²,48m²,48,2+kk,"Zelinova, Zlín",Zelinova, Zlín,17900Kč/měsíc,17900
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-podlesi-iii/2115682892,Pronájem bytu 3+1 70m²,70m²,70,3+1,"Podlesí III, Zlín",Podlesí III, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-hlavni/3354866252,Pronájem bytu 2+1 56m²,56m²,56,2+1,"Hlavní, Otrokovice",Hlavní, Otrokovice,13900Kč/měsíc,13900
https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/2230792780,Pronájem bytu 2+1 59m²,59m²,59,2+1,"Havlíčkova, Otrokovice",Havlíčkova, Otrokovice,13000Kč/měsíc,13000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-nabrezi/1293365836,Pronájem bytu 2+1 60m²,60m²,60,2+1,"Nábřeží, Zlín",Nábřeží, Zlín,12150Kč/měsíc,12150
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-hrncirska/123155020,Pronájem bytu 3+1 85m²,85m²,85,3+1,"Hrnčířská, Zlín",Hrnčířská, Zlín,17000Kč/měsíc,17000
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-okruzni/2725720652,Pronájem bytu 3+1 67m²,67m²,67,3+1,"Okružní, Zlín",Okružní, Zlín,17000Kč/měsíc,17000
https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-smetanova/2759275084,Pronájem bytu 3+1 77m²,77m²,77,3+1,"Smetanova, Otrokovice",Smetanova, Otrokovice,18700Kč/měsíc,18700
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,Pronájem bytu 2+1 45m²,45m²,45,2+1,"Na Honech II, Zlín",Na Honech II, Zlín,13500Kč/měsíc,13500
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-priluky-pancava/1213215308,Pronájem bytu 2+kk 56m²,56m²,56,2+kk,"Pančava, Zlín - Příluky",Pančava, Zlín - Příluky,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+1/napajedla-napajedla-/1949446732,Pronájem bytu 2+1 45m²,45m²,45,2+1,Napajedla,NaN,Napajedla,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vejvanovska/2317496908,Pronájem bytu 1+kk 28m²,28m²,28,1+kk,"Vejvanovská, Zlín",Vejvanovská, Zlín,11500Kč/měsíc,11500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vetrna/1763848780,Pronájem bytu 1+kk 27m²,27m²,27,1+kk,"Větrná, Zlín",Větrná, Zlín,8500Kč/měsíc,8500
https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-kvitkovice-lidicka/3337826892,Pronájem bytu 2+1 56m²,56m²,56,2+1,"Lidická, Otrokovice - Kvítkovice",Lidická, Otrokovice - Kvítkovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-zabranci-i/2441949772,Pronájem bytu 2+kk 45m²,45m²,45,2+kk,"Zábrančí I, Zlín - Louky",Zábrančí I, Zlín - Louky,12600Kč/měsíc,12600
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-dily-ii/65876556,Pronájem bytu 3+1 60m²,60m²,60,3+1,"Díly II, Zlín",Díly II, Zlín,11900Kč/měsíc,11900
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-nivy-ii/205337164,Pronájem bytu 3+1 100m²,100m²,100,3+1,"Nivy II, Zlín",Nivy II, Zlín,16500Kč/měsíc,16500
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-nivy-ii/490549836,Pronájem bytu 2+1 120m²,120m²,120,2+1,"Nivy II, Zlín",Nivy II, Zlín,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Nad Vývozem, Zlín",Nad Vývozem, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/1+kk/luhacovice-luhacovice-leose-janacka/3640889932,Pronájem bytu 1+kk 30m²,30m²,30,1+kk,"Leoše Janáčka, Luhačovice",Leoše Janáčka, Luhačovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-trida-tomase-bati/3562877516,Pronájem bytu 2+kk 60m²,60m²,60,2+kk,"třída Tomáše Bati, Zlín",třída Tomáše Bati, Zlín,13800Kč/měsíc,13800
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kostelec-lesenska/2560504396,Pronájem bytu 2+1 75m²,75m²,75,2+1,"Lešenská, Zlín - Kostelec",Lešenská, Zlín - Kostelec,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-smetanova/3062772300,Pronájem bytu 2+kk 66m²,66m²,66,2+kk,"Smetanova, Zlín",Smetanova, Zlín,20000Kč/měsíc,20000
https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-nam-3-kvetna/697270860,Pronájem bytu 2+1 60m²,60m²,60,2+1,"nám. 3. května, Otrokovice",nám. 3. května, Otrokovice,13700Kč/měsíc,13700
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-sevcovska/3316527692,Pronájem bytu 1+1 37m²,37m²,37,1+1,"Ševcovská, Zlín",Ševcovská, Zlín,11500Kč/měsíc,11500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-jaroslavice-v-doline/889139788,Pronájem bytu 1+kk 25m²,25m²,25,1+kk,"V Dolině, Zlín - Jaroslavice",V Dolině, Zlín - Jaroslavice,7000Kč/měsíc,7000
https://www.sreality.cz/detail/pronajem/byt/atypicky/luhacovice-luhacovice-/1292841548,Pronájem bytu atypický 35m²,35m²,35,atypický,Luhačovice,NaN,Luhačovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-trida-tomase-bati/586756684,Pronájem bytu pokoj 114m²,114m²,114,pokoj,"třída Tomáše Bati, Zlín",třída Tomáše Bati, Zlín,3708Kč/měsíc,3708
https://www.sreality.cz/detail/pronajem/byt/1+kk/napajedla-napajedla-masarykovo-namesti/24588876,Pronájem bytu 1+kk 34m²,34m²,34,1+kk,"Masarykovo náměstí, Napajedla",Masarykovo náměstí, Napajedla,8000Kč/měsíc,8000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-lucni/424227404,Pronájem bytu 2+1 56m²,56m²,56,2+1,"Luční, Zlín",Luční, Zlín,11500Kč/měsíc,11500
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-lazy-iii/3314860620,Pronájem bytu 1+1 35m²,35m²,35,1+1,"Lazy III, Zlín",Lazy III, Zlín,8000Kč/měsíc,8000
https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-na-honech-i/2939470412,Pronájem bytu 3+kk 75m²,75m²,75,3+kk,"Na Honech I, Zlín",Na Honech I, Zlín,25000Kč/měsíc,25000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-smetanova/1229308492,Pronájem bytu 2+kk 111m²,111m²,111,2+kk,"Smetanova, Zlín",Smetanova, Zlín,25000Kč/měsíc,25000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vodni/3263677004,Pronájem bytu 1+kk 27m²,27m²,27,1+kk,"Vodní, Zlín",Vodní, Zlín,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-stefanikova/3400778316,Pronájem bytu 1+1 16m²,16m²,16,1+1,"Štefánikova, Zlín",Štefánikova, Zlín,4200Kč/měsíc,4200
https://www.sreality.cz/detail/pronajem/byt/2+kk/valasske-klobouky-valasske-klobouky-masarykovo-namesti/807256652,Pronájem bytu 2+kk 52m²,52m²,52,2+kk,"Masarykovo náměstí, Valašské Klobouky",Masarykovo náměstí, Valašské Klobouky,14690Kč/měsíc,14690
